baɡɐ	bagɐn	baɡɜ	Bagger	2	Motorradmarkt Bagger Traktor Lkw Co Nutzfahrzeuge Altötting Endlich wieder da neue und gebrauchte Lkw Anhänger Baumaschinen Landmaschinen Stapler und mehr
tʁaktoɐ	tʁaktoʁ	tɾaktoɾ	Traktor	-	Motorradmarkt Bagger Traktor Lkw Co Nutzfahrzeuge Altötting Endlich wieder da neue und gebrauchte Lkw Anhänger Baumaschinen Landmaschinen Stapler und mehr
ɛlkave	lkv	ɛlkɑve	Lkw	2	Motorradmarkt Bagger Traktor Lkw Co Nutzfahrzeuge Altötting Endlich wieder da neue und gebrauchte Lkw Anhänger Baumaschinen Landmaschinen Stapler und mehr
koʊ	ko	ko	Co	?	Motorradmarkt Bagger Traktor Lkw Co Nutzfahrzeuge Altötting Endlich wieder da neue und gebrauchte Lkw Anhänger Baumaschinen Landmaschinen Stapler und mehr
nʊtsfaɐtsɔɪɡə	nʊtsfaʁtsɔɔʏgə	nʊtsfɑɾtsɔøɡə	Nutzfahrzeuge	2,3	Motorradmarkt Bagger Traktor Lkw Co Nutzfahrzeuge Altötting Endlich wieder da neue und gebrauchte Lkw Anhänger Baumaschinen Landmaschinen Stapler und mehr
ste‍ɪplɐ	ʃtaplɐ	ʃtaplɜ	Stapler	1	Motorradmarkt Bagger Traktor Lkw Co Nutzfahrzeuge Altötting Endlich wieder da neue und gebrauchte Lkw Anhänger Baumaschinen Landmaschinen Stapler und mehr
ʁɪctɪɡə	ʁɪctɪgə	rɪctɪɡə	richtige	-	Finden Sie hier das richtige Nutzfahrzeug für Ihren Bedarf in Altötting
nʊtsfaɐtsɔɪk	nʊtsfaʁtsɔɔʏk	nʊtsfɑɾtsɔøk	Nutzfahrzeug	2,3	Finden Sie hier das richtige Nutzfahrzeug für Ihren Bedarf in Altötting
ɡəbʁaʊxtvaɡn	gəbʁaoxtvagən	ɡəbɾaʊxtvɑɡən	Gebrauchtwagen	-	jetzt Nutzfahrzeug finden Gebrauchtwagen Altötting Ob Gebrauchtwagen Vorführwagen oder Oldtimer hier finden Sie das richtige Kraftfahrzeug in Altötting
foɐfyɐvaɡn	foɐfyʁvagən	foɾfyɾvɑɡən	Vorführwagen	-	jetzt Nutzfahrzeug finden Gebrauchtwagen Altötting Ob Gebrauchtwagen Vorführwagen oder Oldtimer hier finden Sie das richtige Kraftfahrzeug in Altötting
kʁaftfaɐtsɔɪk	kʁaftfaʁtsɔɔʏk	kɾaftfɑɾtsɔøk	Kraftfahrzeug	2,3	jetzt Nutzfahrzeug finden Gebrauchtwagen Altötting Ob Gebrauchtwagen Vorführwagen oder Oldtimer hier finden Sie das richtige Kraftfahrzeug in Altötting
nɔɪvaɡn	nɔɔʏvagən	nɔøvɑɡən	Neuwagen	2,3	Neuwagen
fʁaɪə	fʁəijə	fraɪə	freie	-	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
fɛɐtʁaksvɛʁkʃtat	fɛɐtʁaksvɛʁkstat	fɛɾtɾaksvɜkstat	Vertragswerkstatt	2,3	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
pʁaɪzə	pʁaezə	pɾaɪzə	Preise	-	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
fœlɪk	vœllɪc	fœlɪc	völlig	2	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
ʊnaphɛŋɪk	ʊnaphɛŋɪc	ʊnaphɛŋɪc	unabhängig	-	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
fɛɐɡlaɪcn	fɛʁglaɪcən	fɛɾɡlaɪcən	vergleichen	-	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
fɛstpʁaɪs	fɛstpʁaes	fɛstpɾaɪs	Festpreis	-	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
ɔnlaɪn	ɔnlɪnə	ɒnlaɪn	online	2	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
buxn	bʊxən	buxən	buchen	-	Ob Niederlassung freie Werkstatt oder Vertragswerkstatt hier können Sie Preise völlig unabhängig vergleichen und direkt zum Festpreis online buchen
sucbɔks	zʊxboks	zuxbɔks	Suchbox	-	Werkstatt finden Finden Sie Ihr Wunschauto Über die Suchbox erhalten Sie schnell und bequem aktuelle Autoanzeigen zur gewünschten Marke und zum gewünschten Modell in Ihrer Stadt und Umgebung
ɛɐhaltn	ɛʁhaltən	ɛɾhaltən	erhalten	-	Werkstatt finden Finden Sie Ihr Wunschauto Über die Suchbox erhalten Sie schnell und bequem aktuelle Autoanzeigen zur gewünschten Marke und zum gewünschten Modell in Ihrer Stadt und Umgebung
aʊtoantsaɪɡn	aotoantsaegən	aʊtoantsaɪɡən	Autoanzeigen	-	Werkstatt finden Finden Sie Ihr Wunschauto Über die Suchbox erhalten Sie schnell und bequem aktuelle Autoanzeigen zur gewünschten Marke und zum gewünschten Modell in Ihrer Stadt und Umgebung
ɡəvʏnʃtn	gəvʏnststən	ɡəvynʃtən	gewünschten	2	Werkstatt finden Finden Sie Ihr Wunschauto Über die Suchbox erhalten Sie schnell und bequem aktuelle Autoanzeigen zur gewünschten Marke und zum gewünschten Modell in Ihrer Stadt und Umgebung
datnʃʊtsɡʁʏndn	datɛnʃʊtsgʁʏndən	dɑtənʃʊtsɡɾyndən	Datenschutzgründen	-	Aus Datenschutzgründen wird Ihre Adresse nur dann gespeichert wenn Sie angemeldeter und eingeloggter Nutzer des Netzwerkes sind
vɪɐt	vɪʁt	vɪɾt	wird	-	Aus Datenschutzgründen wird Ihre Adresse nur dann gespeichert wenn Sie angemeldeter und eingeloggter Nutzer des Netzwerkes sind
adʁɛsə	adʁɛszə	adɾɛsə	Adresse	-	Aus Datenschutzgründen wird Ihre Adresse nur dann gespeichert wenn Sie angemeldeter und eingeloggter Nutzer des Netzwerkes sind
ɡəʃpaɪcɐt	gəʃpaecɛʁt	ɡəʃpaɪcɜt	gespeichert	-	Aus Datenschutzgründen wird Ihre Adresse nur dann gespeichert wenn Sie angemeldeter und eingeloggter Nutzer des Netzwerkes sind
anɡəmɛldətɐ	angəmɛldətɐ	anɡəmɛldətɜ	angemeldeter	-	Aus Datenschutzgründen wird Ihre Adresse nur dann gespeichert wenn Sie angemeldeter und eingeloggter Nutzer des Netzwerkes sind
aɪnɡəlɔktɐ	aengəlɔgtɐ	aɪnɡəlɔktɜ	eingeloggter	-	Aus Datenschutzgründen wird Ihre Adresse nur dann gespeichert wenn Sie angemeldeter und eingeloggter Nutzer des Netzwerkes sind
datnʃʊts	datɛnʃʊts	dɑtənʃʊts	Datenschutz	-	Wenn Sie mehr zum Thema Datenschutz wissen wollen klicken Sie auf das i
klɪkn	klɪkən	klɪkən	klicken	-	Wenn Sie mehr zum Thema Datenschutz wissen wollen klicken Sie auf das i
ʁuɪɡɐ	ʁuɪgɐ	ruɪɡɜ	ruhiger	-	Nachdem es die letzte Zeit etwas ruhiger um Amar geworden ist hat er heute einen neuen Freetrack mit dem Titel Exclusive feat
əmɑɹ	amaʁ	ɑmɑɾ	Amar	1	Nachdem es die letzte Zeit etwas ruhiger um Amar geworden ist hat er heute einen neuen Freetrack mit dem Titel Exclusive feat
ɡəvɔʁdn	gəvɔʁdən	ɡəvɔɾdən	geworden	-	Nachdem es die letzte Zeit etwas ruhiger um Amar geworden ist hat er heute einen neuen Freetrack mit dem Titel Exclusive feat
hɔɪtə	hɔʏtə	hɔøtə	heute	3	Nachdem es die letzte Zeit etwas ruhiger um Amar geworden ist hat er heute einen neuen Freetrack mit dem Titel Exclusive feat
nɔɪən	nɔɔʏən	nɔøən	neuen	2,3	Nachdem es die letzte Zeit etwas ruhiger um Amar geworden ist hat er heute einen neuen Freetrack mit dem Titel Exclusive feat
fʁitɹæk	fʁɛtʁak	fɹitɹak	Freetrack	2,3	Nachdem es die letzte Zeit etwas ruhiger um Amar geworden ist hat er heute einen neuen Freetrack mit dem Titel Exclusive feat
ɛksklusɪv	ɛkstsluzifə	ɛkskluzivə	Exclusive	2,3	Nachdem es die letzte Zeit etwas ruhiger um Amar geworden ist hat er heute einen neuen Freetrack mit dem Titel Exclusive feat
fit	fəat	feɑt	feat	2,3	Nachdem es die letzte Zeit etwas ruhiger um Amar geworden ist hat er heute einen neuen Freetrack mit dem Titel Exclusive feat
mɪdjɦ	mide	midi	Midy	1	Midy Kosov Son Saifa
kosov	kozof	kozof	Kosov	-	Midy Kosov Son Saifa
sɑifa	zaifa	zaɪfɑ	Saifa	-	Midy Kosov Son Saifa
fɛɐœfntlɪct	fɛɐœffɛntlɪct	fɛɾœfəntlɪct	veröffentlicht	2	veröffentlicht
kɔmɛntiʁən	kɔmməntiʁen	kɔmɛntirən	kommentieren	2	Sie kommentieren als Gast
mɛnʃn	mɛnʃən	mɛnʃən	Menschen	-	Ich glaube nicht an Konzepte nur an Menschen
zoɡaɐ	zogaʁ	zoɡɑɾ	sogar	-	Tinapp spricht sogar von einem “Relaunch” also einer deutlich spürbaren Neupositionierung der Marke Xbox
ɹɪlɔnt‍ʃ	ʁelaonc	relaʊnc	“Relaunch”	2,3	Tinapp spricht sogar von einem “Relaunch” also einer deutlich spürbaren Neupositionierung der Marke Xbox
aɪnɐ	aenɛɐ	aɪnɜ	einer	-	Tinapp spricht sogar von einem “Relaunch” also einer deutlich spürbaren Neupositionierung der Marke Xbox
dɔɪtlɪc	dɔɔʏtlɪc	dɔøtlɪc	deutlich	2,3	Tinapp spricht sogar von einem “Relaunch” also einer deutlich spürbaren Neupositionierung der Marke Xbox
ʃpyɐbaʁən	ʃpʏʁbaʁən	ʃpyɾbɑrən	spürbaren	-	Tinapp spricht sogar von einem “Relaunch” also einer deutlich spürbaren Neupositionierung der Marke Xbox
nɔɪpozitsioniɐʊŋ	nɔɔʏpozitɪoniɐʊŋ	nɔøpozitsjonirʊŋ	Neupositionierung	2,3	Tinapp spricht sogar von einem “Relaunch” also einer deutlich spürbaren Neupositionierung der Marke Xbox
nɔɪɐ	nɔɔʏɐ	nɔøɜ	Neuer	2,3	Neuer Wein in alter Konsole
ʃlɔɪcn	ʃlɔɔʏcən	ʃlɔøcən	Schläuchen	2,3	Könnte klingen wie alter Wein in neuen Schläuchen aber nach meiner Einschätzung macht Microsoft hier genau das Richtige
abɐ	abeʁ	ɑbɜ	aber	x	Könnte klingen wie alter Wein in neuen Schläuchen aber nach meiner Einschätzung macht Microsoft hier genau das Richtige
maɪkʁosɔft	mɪtsʁozɔft	maɪkɹəsɒft	Microsoft	2	Könnte klingen wie alter Wein in neuen Schläuchen aber nach meiner Einschätzung macht Microsoft hier genau das Richtige
aʊftʁetn	aoftʁətən	aʊftɾetən	Auftreten	-	Oder auch das Auftreten in der Werbung war zumindest polydirektional
polidiʁɛktsional	polydiʁɛktsɪonal	polydirɛktsjonɑl	polydirektional	-	Oder auch das Auftreten in der Werbung war zumindest polydirektional
vivə	vifa	vivɑ	Viva	-	Oder dann doch Viva Pinata
pɪnata	pinata	pinatɑ	Pinata	1,2,3	Oder dann doch Viva Pinata
ɪx	ɪc	ɪc	ich	-	Wen will ich eigentlich ansprechen
aɪɡntlɪc	əɪgɛntlɪc	aɪɡəntlɪc	eigentlich	-	Wen will ich eigentlich ansprechen
vaʁʊm	vaʁum	vɑrʊm	Warum	-	Warum irritiert eigentlich immer die eine Zielgruppe die andere sobald sie die gleiche Konsole verwenden
ɪʁitiɐt	ɪʁʁitiʁt	ɪritiɾt	irritiert	2	Warum irritiert eigentlich immer die eine Zielgruppe die andere sobald sie die gleiche Konsole verwenden
tsilɡʁʊpə	tsilgʁʊppə	tsilɡɾʊpə	Zielgruppe	2	Warum irritiert eigentlich immer die eine Zielgruppe die andere sobald sie die gleiche Konsole verwenden
fɛɐkaʊft	fɛɐkaoft	fɛɾkaʊft	verkauft	-	Mag also sein dass alles schon da war aber falsch verkauft wurde
maɐkɪtɪŋs	maʁketɪŋs	maɾketɪŋs	Marketings	-	Aber genau das ist nun mal der Job des Marketings
tɹuθ	tʁut	tɾʊt	Truth	2,3	Truth well told Bemerkenswert
tə‍ʊld	tɔlt	tɔlt	told	2,3	Truth well told Bemerkenswert
bəmɛʁknsveɐt	bəmɛʁkɛnsvɛʁt	bəmɛɾkənsveɾt	Bemerkenswert	-	Truth well told Bemerkenswert
mʏncnɐ	mʏntsnɐ	myncnɜ	Münchner	1	Das Münchner Studio betreut bereits Microsoft Office Windows Visual Studio
ʃtudio	ʃtudɪo	ʃtudɪo	Studio	-	Das Münchner Studio betreut bereits Microsoft Office Windows Visual Studio
bətʁɔɪt	bətʁɔɔʏt	bətɾɔøt	betreut	2,3	Das Münchner Studio betreut bereits Microsoft Office Windows Visual Studio
bəʁaɪts	bəʁaets	bəraɪts	bereits	-	Das Münchner Studio betreut bereits Microsoft Office Windows Visual Studio
vɪndos	vɪndɔvs	wɪndəʊz	Windows	2	Das Münchner Studio betreut bereits Microsoft Office Windows Visual Studio
vɪʒuə‍l	vizual	vizuɑl	Visual	?	Das Münchner Studio betreut bereits Microsoft Office Windows Visual Studio
ɛkstʁem	ɛkstʁəm	ɛkstɾem	extrem	-	Ich halte extrem viel von dieser Agentur
dizɐ	dizəʁ	dizɜ	dieser	-	Ich halte extrem viel von dieser Agentur
aɡɛntuɐ	agɛntuɐ	ɑɡəntuɾ	Agentur	-	Ich halte extrem viel von dieser Agentur
masivn	maszifən	masivən	massiven	-	Und schließlich tippe ich dass wir einen massiven Schwenk der Aufmerksamkeit erleben
pʁofɛsionɛlɐ	pʁofɛszɪonɛllɐ	pɾofɛsɪonɛlɜ	professioneller	2	Aus professioneller Sicht scheint Microsoft gerade sehr gute Weichen zu stellen das kann ökonomisch was werden
ɡəʁadə	gəʁadə	ɡərɑdə	gerade	-	Aus professioneller Sicht scheint Microsoft gerade sehr gute Weichen zu stellen das kann ökonomisch was werden
zeɐ	zeʁ	zeɾ	sehr	-	Aus professioneller Sicht scheint Microsoft gerade sehr gute Weichen zu stellen das kann ökonomisch was werden
familiənfatɐ	familinvatɐ	familɪənfɑtɜ	Familienvater	-	Als Familienvater freue ich mich auf die Entbrutalisierung des Images unter dem wir Spieler ja immer noch leiden
fʁɔɪə	fʁɔɔʏə	frɔøə	freue	2,3	Als Familienvater freue ich mich auf die Entbrutalisierung des Images unter dem wir Spieler ja immer noch leiden
ɛntbɾutalisjeɹʌŋ	ɛntbʁutaliziʁʊŋ	ɛntbɾutalizirʊŋ	Entbrutalisierung	1	Als Familienvater freue ich mich auf die Entbrutalisierung des Images unter dem wir Spieler ja immer noch leiden
ɪmɪtʃəs	imagəs	ɪmɑɡəs	Images	2,3	Als Familienvater freue ich mich auf die Entbrutalisierung des Images unter dem wir Spieler ja immer noch leiden
mmɦ	mmm	ɛmɛmɛmhɑ	Mmmh	?	Mmmh muss ich überlegen
ybɐleɡn	ybɐlegŋ	ybɜleɡən	überlegen	-	Mmmh muss ich überlegen
ɡəzakt	gəzakt	ɡəzɑkt	gesagt	-	Ich glaube ehrlich gesagt dass es nur gut tun kann wenn immer mehr “verkaufte Einheiten” meiner Konsole im Umlauf sind
fɛɐkaʊftə	fɛɐkaoftə	fɛɾkaʊftə	“verkaufte	-	Ich glaube ehrlich gesagt dass es nur gut tun kann wenn immer mehr “verkaufte Einheiten” meiner Konsole im Umlauf sind
aɪnhaɪtn	aɪnhaɪtən	aɪnhaɪtən	Einheiten”	x	Ich glaube ehrlich gesagt dass es nur gut tun kann wenn immer mehr “verkaufte Einheiten” meiner Konsole im Umlauf sind
kæʒuə‍l	kaal	kɑzuɑl	Casual	2,3	Und Auch Casual Gamer sind ja eigentlich ganz süüüüß
ɡe‍ɪmɐ	gamɐ	ɡɑmɜ	Gamer	2,3	Und Auch Casual Gamer sind ja eigentlich ganz süüüüß
syyyys	zyyʏʏss	zyyyys	süüüüß	-	Und Auch Casual Gamer sind ja eigentlich ganz süüüüß
nɔɪaʊsʁɪctʊŋ	nɔɔʏaosʁɪctʊŋ	nɔøaʊsrɪctʊŋ	Neuausrichtung	2,3	Was meint Ihr zur Neuausrichtung
kə‍ʊk	tsokə	kəʊk	Coke	2	die Coke Zero Werbung in der die Kinogäste sich ihren teuren Becher Cola kaufen und sich dann ins Kino setzen
zi‍əɹə‍ʊ	tseʁo	tsɛɾo	Zero	2,3	die Coke Zero Werbung in der die Kinogäste sich ihren teuren Becher Cola kaufen und sich dann ins Kino setzen
tɔɪʁən	təuɐən	tɔørən	teuren	3	die Coke Zero Werbung in der die Kinogäste sich ihren teuren Becher Cola kaufen und sich dann ins Kino setzen
bɛcɐ	bəcɐ	bɛcɜ	Becher	-	die Coke Zero Werbung in der die Kinogäste sich ihren teuren Becher Cola kaufen und sich dann ins Kino setzen
kaʊfm	kaofən	kaʊfən	kaufen	-	die Coke Zero Werbung in der die Kinogäste sich ihren teuren Becher Cola kaufen und sich dann ins Kino setzen
zɛtsn	zɛtsən	zɛtsən	setzen	-	die Coke Zero Werbung in der die Kinogäste sich ihren teuren Becher Cola kaufen und sich dann ins Kino setzen
ybɐflʊs	ybɛʁflʊss	ybɜflʊs	Überfluss	-	Zu allem Überfluss ist der Typ auch noch stolz auf seinen Beschiss und gibt seinen Betrug meine Meinung meine nichtjuristische Wertung des Umstandes auch noch offen zu
bətʁuk	bətʁug	bətɾuk	Betrug	-	Zu allem Überfluss ist der Typ auch noch stolz auf seinen Beschiss und gibt seinen Betrug meine Meinung meine nichtjuristische Wertung des Umstandes auch noch offen zu
veɐtʊŋ	vɛʁtʊŋ	vɛɾtʊŋ	Wertung	-	Zu allem Überfluss ist der Typ auch noch stolz auf seinen Beschiss und gibt seinen Betrug meine Meinung meine nichtjuristische Wertung des Umstandes auch noch offen zu
ɔfm	ɔffən	ɔfən	offen	-	Zu allem Überfluss ist der Typ auch noch stolz auf seinen Beschiss und gibt seinen Betrug meine Meinung meine nichtjuristische Wertung des Umstandes auch noch offen zu
tsʊkɐlozə	tsukɛʁlosə	tsʊkɜlozə	zuckerlose	-	Sicher der Ansatz mag seinen Sinn haben und Zweck erfüllen denn eine zuckerlose Cola ist bestimmt viel gesünder schmeckt aber genau so toll hust
ɡəzʏndɐ	gəzʏndɐ	ɡəzyndɜ	gesünder	-	Sicher der Ansatz mag seinen Sinn haben und Zweck erfüllen denn eine zuckerlose Cola ist bestimmt viel gesünder schmeckt aber genau so toll hust
hust	hʊst	hʊst	hust	-	Sicher der Ansatz mag seinen Sinn haben und Zweck erfüllen denn eine zuckerlose Cola ist bestimmt viel gesünder schmeckt aber genau so toll hust
dʌbə‍ljuohoooo	vooooo	voou	Wohoooo	1	Wohoooo Sensation
zɛnzatsion	zɛnzatsɪon	zɛnzatsjon	Sensation	-	Wohoooo Sensation
klaɐtɛkst	klaʁtɛkst	klaɾtɛkst	Klartext	-	Klartext Schön es gibt also mehr im All als Gasriesen und Steinklumpen aber eine Alternative zu unserer Erde ist noch immer nicht gefunden
ɡasʁizn	gasʁisən	ɡasrizən	Gasriesen	-	Klartext Schön es gibt also mehr im All als Gasriesen und Steinklumpen aber eine Alternative zu unserer Erde ist noch immer nicht gefunden
ʃtaɪnklʊmpn	ʃtaenklʊmpən	ʃtaɪŋklʊmpən	Steinklumpen	-	Klartext Schön es gibt also mehr im All als Gasriesen und Steinklumpen aber eine Alternative zu unserer Erde ist noch immer nicht gefunden
altɛʁnativə	altɛʁnatifə	altɜnativə	Alternative	-	Klartext Schön es gibt also mehr im All als Gasriesen und Steinklumpen aber eine Alternative zu unserer Erde ist noch immer nicht gefunden
ʊnzəʁɐ	ʊnzɐɐ	ʊnzərɜ	unserer	-	Klartext Schön es gibt also mehr im All als Gasriesen und Steinklumpen aber eine Alternative zu unserer Erde ist noch immer nicht gefunden
eɐdə	ɛʁde	eɾdə	Erde	-	Klartext Schön es gibt also mehr im All als Gasriesen und Steinklumpen aber eine Alternative zu unserer Erde ist noch immer nicht gefunden
ɡəfʊndn	gəfʊndn	ɡəfʊndən	gefunden	-	Klartext Schön es gibt also mehr im All als Gasriesen und Steinklumpen aber eine Alternative zu unserer Erde ist noch immer nicht gefunden
ʊnzəʁən	ʊnzɐən	ʊnzərən	unseren	-	Komisch dass wir unseren eigenen Planeten noch immer heiter abholzen kaputtbomben und systematisch leer ernten
aphɔltsn	aphɔltsən	aphɔltsən	abholzen	-	Komisch dass wir unseren eigenen Planeten noch immer heiter abholzen kaputtbomben und systematisch leer ernten
kapʊtbɔmbn	kapʊttbɔmbən	kɑpʊtbɔmbən	kaputtbomben	2	Komisch dass wir unseren eigenen Planeten noch immer heiter abholzen kaputtbomben und systematisch leer ernten
ɛʁntn	ɛɐntən	ɛɾntən	ernten	-	Komisch dass wir unseren eigenen Planeten noch immer heiter abholzen kaputtbomben und systematisch leer ernten
kɛʁnkʁev	kɛʁntsʁev	kɜŋkɹu	Kerncrew	1,2	Schön finde ich dass sich die Besetzung der Kerncrew in allen drei Teilen nicht geändert hat
ɡəɛndɐt	gəɛndɛʁt	ɡəɛndɜt	geändert	-	Schön finde ich dass sich die Besetzung der Kerncrew in allen drei Teilen nicht geändert hat
vɛnekk	vɛnnɛk	vɛnɛk	Wenneck	1,2	Es sind nach wie vor Phil Wenneck gespielt von Bradley Cooper Dr Stuart „Stu“ Price Ed Helms Alan Garner Zach Galifianakis und Doug Billings Justin Bartha die ihre nächtliche und abenteuerliche Sauftour aufarbeiten und dabei mehr als nur eine Kuriosität erleben
bɹædli	bʁadləy	bɾadlaɪ	Bradley	2,3	Es sind nach wie vor Phil Wenneck gespielt von Bradley Cooper Dr Stuart „Stu“ Price Ed Helms Alan Garner Zach Galifianakis und Doug Billings Justin Bartha die ihre nächtliche und abenteuerliche Sauftour aufarbeiten und dabei mehr als nur eine Kuriosität erleben
kupɐ	kɔopɐ	kopɜ	Cooper	2,3	Es sind nach wie vor Phil Wenneck gespielt von Bradley Cooper Dr Stuart „Stu“ Price Ed Helms Alan Garner Zach Galifianakis und Doug Billings Justin Bartha die ihre nächtliche und abenteuerliche Sauftour aufarbeiten und dabei mehr als nur eine Kuriosität erleben
ɖ	dʁ	deɛɾ	Dr	1,2,3	Es sind nach wie vor Phil Wenneck gespielt von Bradley Cooper Dr Stuart „Stu“ Price Ed Helms Alan Garner Zach Galifianakis und Doug Billings Justin Bartha die ihre nächtliche und abenteuerliche Sauftour aufarbeiten und dabei mehr als nur eine Kuriosität erleben
stjuɐt	ʃtuaʁt	ʃtuaɾt	Stuart	2,3	Es sind nach wie vor Phil Wenneck gespielt von Bradley Cooper Dr Stuart „Stu“ Price Ed Helms Alan Garner Zach Galifianakis und Doug Billings Justin Bartha die ihre nächtliche und abenteuerliche Sauftour aufarbeiten und dabei mehr als nur eine Kuriosität erleben
stu	ʃtu	ʃtu	„Stu“	2,3	Es sind nach wie vor Phil Wenneck gespielt von Bradley Cooper Dr Stuart „Stu“ Price Ed Helms Alan Garner Zach Galifianakis und Doug Billings Justin Bartha die ihre nächtliche und abenteuerliche Sauftour aufarbeiten und dabei mehr als nur eine Kuriosität erleben
