grapheme	label	olaph	espeak	gruut	olaph_source	olaph_splits	olaph_per	espeak_per	gruut_per
Acaz	akaθ	akaθ	akˈaθ	akaθ	dict	[]	0.000	0.250	0.000
Acebedo	aθebedo	aθebedo	ˌaθeβˈeðo	aθebedo	compound	ace|be|do	0.000	0.571	0.000
Acebo	aθebo	aθeβo	aθˈeβo	aθebo	dict	[]	0.200	0.400	0.000
Acedo	aθedo	aθeðo	aθˈeðo	aθedo	dict	[]	0.200	0.400	0.000
Aceituno	aθeituno	aθeituno	ˌaθeɪtˈuno	aθeituno	dict	[]	0.000	0.375	0.000
Acelhuate	aθelwate	aθelwate	ˌaθelwˈate	aθelwate	compound	ace|l|hua|te	0.000	0.250	0.000
Acero	aθeɾo	aθeɾo	aθˈeɾo	aθeɾo	dict	[]	0.000	0.200	0.000
Acevedo	aθebedo	aθebeðo	ˌaθeβˈeðo	aθebedo	compound	ace|vedo	0.143	0.571	0.000
Aceves	aθebes	aθebes	aθˈeβes	aθebes	compound	ace|ves	0.000	0.333	0.000
Achí	atʃi	aˈtʃi	atʃˈi	atʃi	compound	[]	0.250	0.250	0.000
Aconchi	akontʃi	akontʃi	akˈontʃi	akoɲtʃi	dict	[]	0.000	0.143	0.143
Acorda	akoɾda	akoɾða	akˈoɾða	akoɾda	compound	a|corda	0.167	0.333	0.000
Acosta	akosta	akosta	akˈosta	akosta	compound	a|costa	0.000	0.167	0.000
Acra	akɾa	akɾa	ˈakɾa	akɾa	compound	ac|ra	0.000	0.250	0.000
Acrópolis	akɾopolis	aˈkɾopolis	akɾˈopolis	akɾopolis	dict	[]	0.111	0.111	0.000
Acuña	akuɲa	akuɲa	akˈuɲa	akuɲa	dict	[]	0.000	0.200	0.000
Ada	ada	aða	ˈaða	ada	dict	[]	0.333	0.667	0.000
Adalberto	adalbeɾto	aðalbeɾto	ˌaðalβˈeɾto	adalbeɾto	compound	ada|l|ber|to	0.111	0.444	0.000
Adam	adam	aðam	ˈaðam	adam	compound	ada|m	0.250	0.500	0.000
Adame	adame	aðame	aðˈame	adame	dict	[]	0.200	0.400	0.000
Adela	adela	adela	aðˈela	adela	compound	ad|el|a	0.000	0.400	0.000
Adelaida	adelaida	adelaiða	ˌaðelˈaɪða	adelaida	compound	ad|el|a|ida	0.125	0.625	0.000
Adelardo	adelaɾdo	adelaɾðo	ˌaðelˈaɾðo	adelaɾdo	compound	ad|el|ardo	0.125	0.500	0.000
Adelia	adelja	adelja	aðˈelja	adelʝa	compound	a|delia	0.000	0.333	0.167
Adelina	adelina	adelina	ˌaðelˈina	adelina	dict	[]	0.000	0.429	0.000
Adelio	adeljo	adeljo	aðˈeljo	adelʝo	compound	ad|eli|o	0.000	0.333	0.167
Adelita	adelita	adelita	ˌaðelˈita	adelita	dict	[]	0.000	0.429	0.000
Adiel	adjel	adjel	aðjˈel	adʝel	compound	ad|ie|l	0.000	0.400	0.200
Adigio	adixjo	adiɡjo	aðˈixjo	adixʝo	compound	ad|ig|io	0.167	0.333	0.167
Adiguesia	adiɡesja	adiɡeesja	ˌaðiɣˈesja	adigesʝa	compound	ad|igu|es|ia	0.125	0.500	0.250
Adisoda	adisoda	adisoða	ˌaðisˈoða	adisoda	compound	ad|is|oda	0.143	0.571	0.000
Adjuntas	adxuntas	aðxuntas	aðxˈuntas	adxuntas	dict	[]	0.125	0.250	0.000
Adolfito	adolfito	adolfito	ˌaðolfˈito	adolfito	dict	[]	0.000	0.375	0.000
Adolfo	adolfo	adolfo	aðˈolfo	adolfo	compound	ado|l|f|o	0.000	0.333	0.000
Adonai	adonai	adonai	aðˈonaɪ	adonai	compound	ado|na|i	0.000	0.500	0.000
Adri	adɾi	adri	ˈaðɾi	adɾi	compound	ad|ri	0.250	0.500	0.000
Adriana	adɾjana	adɾjana	ˌaðɾiˈana	adɾʝana	compound	ad|ria|na	0.000	0.571	0.143
Adriano	adɾjano	adɾjano	ˌaðɾiˈano	adɾʝano	compound	ad|ria|no	0.000	0.571	0.143
Adrián	adɾjan	aˈðɾjan	ˌaðɾiˈan	adɾʝan	dict	[]	0.333	0.667	0.167
Adviento	adbjento	aðβjento	aðβjˈɛnto	adbʝento	dict	[]	0.250	0.500	0.125
Advíncula	adbinkula	adˈbinkula	aðβˈinkula	adbinkula	compound	[]	0.111	0.333	0.000
Adán	adan	aˈðan	aðˈan	adan	dict	[]	0.500	0.500	0.000
Adén	aden	aˈden	aðˈen	aden	compound	a|dé|n	0.250	0.500	0.000
Aedo	aedo	aedo	aˈeðo	aedo	compound	a|e|do	0.000	0.500	0.000
Afanador	afanadoɾ	afanaðoɾ	ˌafanaðˈoɾ	afanadoɾ	dict	[]	0.125	0.375	0.000
Afganistán	afɡanistan	afɡanisˈtan	ˌafɣanistˈan	afganistan	compound	[]	0.100	0.300	0.100
Afrodita	afɾodita	afɾoðita	ˌafɾoðˈita	afɾodita	dict	[]	0.125	0.375	0.000
Agamenón	aɡamenon	aɡameˈnon	ˌaɣamenˈon	agamenon	compound	aga|menó|n	0.125	0.375	0.125
Agapito	aɡapito	aɡapito	ˌaɣapˈito	agapito	compound	aga|pito	0.000	0.429	0.143
Agar	aɡaɾ	aɡar	aɣˈaɾ	agaɾ	compound	aga|r	0.250	0.500	0.250
Agaña	aɡaɲa	aɡaɲa	aɣˈaɲa	agaɲa	compound	aga|ñ|a	0.000	0.400	0.200
Agra	aɡɾa	aɡɾa	ˈaɣɾa	agɾa	compound	ag|ra	0.000	0.500	0.250
Agramonte	aɡɾamonte	aɡɾamonte	ˌaɣɾamˈonte	agɾamonte	compound	ag|ra|monte	0.000	0.333	0.111
Agredano	aɡɾedano	aɣɾeðano	ˌaɣɾeðˈano	agɾedano	compound	agredan|o	0.250	0.500	0.125
Aguachica	aɡwatʃika	aɣwatʃika	ˌaɣwatʃˈika	agwatʃika	compound	agua|chica	0.111	0.333	0.111
Aguadas	aɡwadas	aɣwaðas	aɣwˈaðas	agwadas	dict	[]	0.286	0.429	0.143
Aguado	aɡwado	aɣwaðo	aɣwˈaðo	agwado	dict	[]	0.333	0.500	0.167
Aguas	aɡwas	aɣwas	ˈaɣwas	agwas	dict	[]	0.200	0.400	0.200
Aguascalientes	aɡwaskaljentes	aɣwaskaljentes	ˌaɣwaskaljˈɛntes	agwaskalʝentes	compound	aguas|calientes	0.071	0.286	0.143
Aguayo	aɡwaʝo	aɣwaʝo	aɣwˈajjo	agwaʝo	compound	agua|yo	0.167	0.667	0.167
Aguiar	aɡjaɾ	aɡiaɾ	aɣjˈaɾ	agʝaɾ	compound	agui|ar	0.200	0.400	0.400
Aguilar	aɡilaɾ	aɡilaɾ	ˌaɣilˈaɾ	agilaɾ	compound	agui|lar	0.000	0.500	0.167
Aguilares	aɡilaɾes	aɡilaɾes	ˌaɣilˈaɾes	agilaɾes	compound	agui|lares	0.000	0.375	0.125
Aguilera	aɡileɾa	aɡileɾa	ˌaɣilˈeɾa	agileɾa	compound	agui|lera	0.000	0.429	0.143
Aguillón	aɡiʝon	agiˈʎon	ˌaɣiʎˈon	agiʎon	compound	a|guilló|n	0.500	0.667	0.333
Aguiluz	aɡiluθ	aɡiluθ	ˌaɣilˈuθ	agiluθ	compound	agui|luz	0.000	0.500	0.167
Aguinaga	aɡinaɡa	aɡinaɡa	ˌaɣinˈaɣa	aginaga	compound	agui|na|ga	0.000	0.571	0.286
Aguinaldo	aɡinaldo	aɣinaldo	ˌaɣinˈalðo	aginaldo	dict	[]	0.125	0.500	0.125
Aguirre	aɡire	aɡire	aɣˈiɾɾe	agire	compound	agui|rr|e	0.000	0.800	0.200
Agundo	aɡundo	aɡindo	aɣˈundo	agundo	compound	agu|ndo	0.167	0.333	0.167
Agustina	aɡustina	aɣustina	ˌaɣustˈina	agustina	dict	[]	0.125	0.375	0.125
Agustín	aɡustin	aɣuˈstin	ˌaɣustˈin	agustin	dict	[]	0.286	0.429	0.143
Aguón	aɡwon	aˈɣwon	aɣwˈon	agwon	compound	aguó|n	0.400	0.400	0.200
Agún	aɡun	aˈɡun	aɣˈun	agun	compound	[]	0.250	0.500	0.250
Agúndez	aɡundeθ	aˈɡundeθ	aɣˈundeθ	agundeθ	compound	[]	0.143	0.286	0.143
Agüero	aɡweɾo	aɣweɾo	ˌaɣuˈeɾo	agweɾo	dict	[]	0.167	0.667	0.167
Ahuachapán	awatʃapan	awatʃaˈpan	ˌawatʃapˈan	awatʃapan	compound	[]	0.111	0.222	0.000
Ahumada	aumada	aumaða	ˌaumˈaða	aumada	dict	[]	0.167	0.500	0.000
Aija	aixa	aixa	ˈaɪxa	aixa	compound	a|i|ja	0.000	0.500	0.000
Aimar	aimaɾ	aimaɾ	aɪmˈaɾ	aimaɾ	compound	a|im|ar	0.000	0.400	0.000
Ainara	ainaɾa	ainaɾa	aɪnˈaɾa	ainaɾa	compound	a|ina|ra	0.000	0.333	0.000
Ainhoa	ainoa	ainoa	aɪnˈoa	ainoa	dict	[]	0.000	0.400	0.000
Aipe	aipe	aipe	ˈaɪpe	aipe	compound	a|ip|e	0.000	0.500	0.000
Aispuro	aispuɾo	aispuɾo	aɪspˈuɾo	aispuɾo	compound	a|is|puro	0.000	0.286	0.000
Aitana	aitana	aitana	aɪtˈana	aitana	compound	a|ita|na	0.000	0.333	0.000
Aitor	aitoɾ	aitor	aɪtˈoɾ	aitoɾ	compound	a|i|to|r	0.200	0.400	0.000
Aión	ajon	aˈjon	aɪˈon	aʝon	compound	[]	0.250	0.500	0.250
Ajanel	axanel	axanel	ˌaxanˈel	axanel	compound	ajan|el	0.000	0.333	0.000
Ajijic	axixik	axixik	ˌaxixˈik	axixik	compound	a|ji|ji|c	0.000	0.333	0.000
Akenatón	akenaton	akenaˈton	ˌakenatˈon	aθenaton	compound	a|k|en|ató|n	0.125	0.250	0.125
Akinetón	akineton	akineˈton	ˌakinetˈon	aiineton	compound	[]	0.125	0.250	0.125
Alabama	alabama	alaβama	ˌalaβˈama	alabama	compound	alaba|ma	0.143	0.429	0.000
Alajuela	alaxwela	alaxwela	ˌalaxwˈela	alaxwela	dict	[]	0.000	0.250	0.000
Alamilla	alamiʝa	alamiʎa	ˌalamˈiʎa	alamiʎa	compound	ala|milla	0.143	0.429	0.143
Alamillo	alamiʝo	alamiʎo	ˌalamˈiʎo	alamiʎo	compound	ala|millo	0.143	0.429	0.143
Alarcón	alaɾkon	alaˈɾkon	ˌalaɾkˈon	alaɾkon	compound	al|arcón	0.143	0.286	0.000
Alaska	alaska	alaska	alˈaska	alaska	compound	alas|ka	0.000	0.167	0.000
Alatorre	alatore	alatore	ˌalatˈoɾɾe	alatore	dict	[]	0.000	0.571	0.000
Alavez	alabeθ	alabeθ	ˌalaβˈeθ	alabeθ	compound	ala|vez	0.000	0.500	0.000
Alayón	alaʝon	alaˈʝon	ˌalajjˈon	alaʝon	compound	a|layó|n	0.167	0.667	0.000
Alba	alba	alβa	ˈalβa	alba	dict	[]	0.250	0.500	0.000
Albacete	albaθete	alβaθete	ˌalβaθˈete	albaθete	compound	alba|ce|te	0.125	0.375	0.000
Albania	albanja	alβanja	alβˈanja	albanʝa	compound	alba|nia	0.143	0.286	0.143
Albano	albano	alβano	alβˈano	albano	dict	[]	0.167	0.333	0.000
Albarracín	albaraθin	albaraθin	ˌalβaɾɾaθˈin	albaraθin	dict	[]	0.000	0.556	0.000
Albarrán	albaran	albaran	ˌalβaɾɾˈan	albaran	dict	[]	0.000	0.714	0.000
Alberta	albeɾta	albeɾta	alβˈeɾta	albeɾta	compound	al|berta	0.000	0.286	0.000
Alberto	albeɾto	albeɾto	alβˈeɾto	albeɾto	compound	al|ber|to	0.000	0.286	0.000
Albina	albina	alβina	alβˈina	albina	dict	[]	0.167	0.333	0.000
Albir	albiɾ	albir	alβˈiɾ	albiɾ	compound	al|bir	0.200	0.400	0.000
Albireo	albiɾeo	albireo	ˌalβiɾˈeo	albiɾeo	compound	al|bi|reo	0.143	0.429	0.000
Albornoz	alboɾnoθ	alβoɾnoθ	ˌalβoɾnˈoθ	alboɾnoθ	dict	[]	0.125	0.375	0.000
Albuquerque	albukeɾke	albukerke	ˌalβukˈeɾke	albukeɾke	compound	al|buque|r|que	0.111	0.333	0.000
Alburquerque	albuɾkeɾke	alβuɾkerke	ˌalβuɾkˈeɾke	albuɾkeɾke	compound	albur|que|r|que	0.200	0.300	0.000
Albíter	albiteɾ	alˈbiteɾ	alβˈiteɾ	albiteɾ	compound	[]	0.143	0.286	0.000
Alcaide	alkaide	alkaiðe	alkˈaɪðe	alkaide	dict	[]	0.143	0.429	0.000
Alcalde	alkalde	alkalde	alkˈalðe	alkalde	dict	[]	0.000	0.286	0.000
Alcalá	alkala	alkaˈla	ˌalkalˈa	alkala	dict	[]	0.167	0.333	0.000
Alcaraz	alkaɾaθ	alkaɾaθ	ˌalkaɾˈaθ	alkaɾaθ	dict	[]	0.000	0.286	0.000
Alcatraz	alkatɾaθ	alkatɾaθ	ˌalkatɾˈaθ	alkatɾaθ	dict	[]	0.000	0.250	0.000
Alcauter	alkauteɾ	alkauteɾ	ˌalkaʊtˈeɾ	alkauteɾ	compound	alca|u|ter	0.000	0.375	0.000
Alcira	alθiɾa	alθiɾa	alθˈiɾa	alθiɾa	dict	[]	0.000	0.167	0.000
Alcmena	alɡmena	alkmena	alkmˈena	alkmena	compound	alc|mena	0.143	0.286	0.143
Alcocer	alkoθeɾ	alkoθeɾ	ˌalkoθˈeɾ	alkoθeɾ	compound	al|cocer	0.000	0.286	0.000
Alcorcón	alkoɾkon	alkoɾˈkon	ˌalkoɾkˈon	alkoɾkon	compound	[]	0.125	0.250	0.000
Alcorán	alkoɾan	alkoˈɾan	ˌalkoɾˈan	alkoɾan	dict	[]	0.143	0.286	0.000
Alcoser	alkoseɾ	alkoseɾ	ˌalkosˈeɾ	alkoseɾ	compound	al|coser	0.000	0.286	0.000
Alcoy	alkoi	alkoi	alkˈoɪ	alkoʝ	compound	alc|o|y	0.000	0.400	0.200
Alcubierre	alkubjere	alkubjere	ˌalkuβjˈeɾɾe	alkubʝere	dict	[]	0.000	0.556	0.111
Alcácer	alkaθeɾ	alkaθeɾ	alkˈaθeɾ	alkaθeɾ	dict	[]	0.000	0.143	0.000
Alcántara	alkantaɾa	aˈlkantaɾa	alkˈantaɾa	alkantaɾa	dict	[]	0.111	0.111	0.000
Alcázar	alkaθaɾ	aˈlkaθaɾ	alkˈaθaɾ	alkaθaɾ	dict	[]	0.143	0.143	0.000
Alcívar	alθibaɾ	alˈθibaɾ	alθˈiβaɾ	alθibaɾ	compound	[]	0.143	0.286	0.000
Aldaba	aldaba	aldaβa	alðˈaβa	aldaba	dict	[]	0.167	0.500	0.000
Aldaco	aldako	aldako	alðˈako	aldako	compound	al|da|co	0.000	0.333	0.000
Aldama	aldama	aldama	alðˈama	aldama	compound	al|dama	0.000	0.333	0.000
Aldana	aldana	aldana	alðˈana	aldana	compound	al|dan|a	0.000	0.333	0.000
Alday	aldai	aldai	alðˈaɪ	aldaʝ	compound	al|da|y	0.000	0.600	0.200
Aldebarán	aldebaɾan	aldeβaˈɾan	ˌalðeβaɾˈan	aldebaɾan	dict	[]	0.222	0.444	0.000
Aldeguer	aldeɡeɾ	aldeɡer	ˌalðeɣˈeɾ	aldegeɾ	compound	al|de|gue|r	0.143	0.571	0.143
Alderete	aldeɾete	alderete	ˌalðeɾˈete	aldeɾete	compound	al|de|rete	0.125	0.375	0.000
Aldo	aldo	aldo	ˈalðo	aldo	compound	al|do	0.000	0.500	0.000
Ale	ale	ale	ˈale	ale	dict	[]	0.000	0.333	0.000
Alegre	aleɡɾe	aleɣɾe	alˈeɣɾe	alegɾe	dict	[]	0.167	0.333	0.167
Alegría	aleɡɾia	aleˈɣɾia	ˌaleɣɾˈia	alegɾia	dict	[]	0.286	0.429	0.143
Aleixandre	aleiɡsandɾe	aleiɡsandɾe	ˌaleɪksˈandɾe	aleiksandɾe	dict	[]	0.000	0.364	0.091
Alejandra	alexandɾa	alexandɾa	ˌalexˈandɾa	alexandɾa	compound	alejan|d|ra	0.000	0.222	0.000
Alejandrina	alexandɾina	alexandɾina	ˌalexandɾˈina	alexandɾina	dict	[]	0.000	0.182	0.000
Alejandro	alexandɾo	alexandɾo	ˌalexˈandɾo	alexandɾo	dict	[]	0.000	0.222	0.000
Alejandría	alexandɾia	alexanˈdɾia	ˌalexandɾˈia	alexandɾia	dict	[]	0.100	0.200	0.000
Alejandrópolis	alexandɾopolis	alexanˈdɾopolis	ˌalexandɾˈopolis	alexandɾopolis	compound	[]	0.071	0.143	0.000
Alejo	alexo	alexo	alˈexo	alexo	dict	[]	0.000	0.200	0.000
Alejándrez	alexandɾeθ	aleˈxandɾeθ	ˌalexˈandɾeθ	alexandɾeθ	compound	[]	0.100	0.200	0.000
Alemania	alemanja	alemanja	ˌalemˈanja	alemanʝa	dict	[]	0.000	0.250	0.125
Alemán	aleman	aleˈman	ˌalemˈan	aleman	dict	[]	0.167	0.333	0.000
Alentejo	alentexo	alentexo	ˌalentˈexo	alentexo	compound	al|entejo	0.000	0.250	0.000
Alepo	alepo	alepo	alˈepo	alepo	compound	a|lepo	0.000	0.200	0.000
Alessandro	alesandɾo	alesandro	ˌalessˈandɾo	alessandɾo	compound	ale|s|san|d|ro	0.111	0.333	0.111
Alexander	aleɡsandeɾ	aleksander	ˌaleksandˈeɾ	aleksandeɾ	compound	ale|x|ande|r	0.200	0.300	0.100
Alexandrescu	aleɡsandɾesku	aleɡsandɾesku	ˌaleksandɾˈesku	aleksandɾesku	dict	[]	0.000	0.231	0.077
Alexis	aleɡsis	aleɡsis	alˈeksis	aleksis	dict	[]	0.000	0.286	0.143
Alexópulos	aleɡsopulos	aleɡˈsopulos	ˌaleksˈopulos	aleksopulos	compound	[]	0.091	0.273	0.091
Alfaro	alfaɾo	alfaɾo	alfˈaɾo	alfaɾo	compound	alfar|o	0.000	0.167	0.000
Alfonsina	alfonsina	alfonsina	ˌalfonsˈina	alfonsina	dict	[]	0.000	0.222	0.000
Alfonso	alfonso	alfonso	alfˈonso	alfonso	dict	[]	0.000	0.143	0.000
Alfredo	alfɾedo	alfɾeðo	alfɾˈeðo	alfɾedo	dict	[]	0.143	0.286	0.000
Alférez	alfeɾeθ	aˈlfeɾeθ	alfˈeɾeθ	alfeɾeθ	dict	[]	0.143	0.143	0.000
Alfónsez	alfonseθ	aˈlfonseθ	alfˈonseθ	alfonseθ	compound	alfó|n|sez	0.125	0.125	0.000
Algeciras	alxeθiɾas	alxeθiɾas	ˌalxeθˈiɾas	alxeθiɾas	dict	[]	0.000	0.222	0.000
Algol	alɡol	algol	alɣˈol	algol	dict	[]	0.200	0.400	0.200
Alguer	alɡeɾ	alɡeɾ	alɣˈeɾ	algeɾ	dict	[]	0.000	0.400	0.200
Alhambra	alambɾa	alambɾa	alˈambɾa	alambɾa	compound	al|ha|mb|ra	0.000	0.143	0.000
Aliaga	aljaɡa	aljaɣa	aljˈaɣa	alʝaga	dict	[]	0.167	0.333	0.333
Alicante	alikante	alikante	ˌalikˈante	alikante	dict	[]	0.000	0.250	0.000
Alicia	aliθja	aliθja	alˈiθja	aliθʝa	dict	[]	0.000	0.167	0.167
Alina	alina	alina	alˈina	alina	compound	ali|na	0.000	0.200	0.000
Alipio	alipjo	alipjo	alˈipjo	alipʝo	dict	[]	0.000	0.167	0.167
Alirio	aliɾjo	alirjo	alˈiɾjo	aliɾʝo	compound	ali|rio	0.167	0.167	0.167
Aljovín	alxobin	alxoˈbin	ˌalxoβˈin	alxobin	all_lang	[]	0.143	0.429	0.000
Allende	aʝende	aʎende	aʎˈɛnde	aʎende	dict	[]	0.167	0.500	0.167
Alma	alma	alma	ˈalma	alma	dict	[]	0.000	0.250	0.000
Almadén	almaden	almaˈðen	ˌalmaðˈen	almaden	dict	[]	0.286	0.429	0.000
Almagro	almaɡɾo	almaɣɾo	almˈaɣɾo	almagɾo	dict	[]	0.143	0.286	0.143
Almaguer	almaɡeɾ	almaɡer	ˌalmaɣˈeɾ	almageɾ	compound	alma|gue|r	0.143	0.429	0.143
Almanza	almanθa	almanθa	almˈanθa	almanθa	compound	alma|nz|a	0.000	0.143	0.000
Almaraz	almaɾaθ	almaɾaθ	ˌalmaɾˈaθ	almaɾaθ	dict	[]	0.000	0.286	0.000
Almario	almaɾjo	almarjo	almˈaɾjo	almaɾʝo	compound	alma|rio	0.143	0.143	0.143
Almatý	almati	almaˈti	almˈati	almate	all_lang	[]	0.167	0.167	0.167
Almazán	almaθan	almaˈθan	ˌalmaθˈan	almaθan	compound	[]	0.143	0.286	0.000
Almeda	almeda	almeða	almˈeða	almeda	compound	al|meda	0.167	0.333	0.000
Almeida	almeida	almeiða	almˈeɪða	almeida	compound	al|me|ida	0.143	0.429	0.000
Almendares	almendaɾes	almendaɾes	ˌalmendˈaɾes	almendaɾes	compound	al|me|n|dar|es	0.000	0.200	0.000
Almendra	almendɾa	almendɾa	almˈɛndɾa	almendɾa	dict	[]	0.000	0.250	0.000
Almendralejo	almendɾalexo	almendɾalexo	ˌalmendɾalˈexo	almendɾalexo	compound	almendra|le|jo	0.000	0.167	0.000
Almendárez	almendaɾeθ	almenˈdaɾeθ	ˌalmendˈaɾeθ	almendaɾeθ	compound	[]	0.100	0.200	0.000
Almería	almeɾia	almeˈria	ˌalmeɾˈia	almeɾia	compound	al|me|ría	0.286	0.286	0.000
Almeyda	almeida	almeida	almˈeɪða	almenda	compound	al|me|y|da	0.000	0.429	0.143
Almodóvar	almodobaɾ	almoˈdobaɾ	ˌalmoðˈoβaɾ	almodobaɾ	compound	[]	0.111	0.444	0.000
Almu	almu	almu	ˈalmu	almu	compound	al|m|u	0.000	0.250	0.000
Almudena	almudena	almuðena	ˌalmuðˈena	almudena	compound	almud|en|a	0.125	0.375	0.000
Almánzar	almanθaɾ	alˈmanθaɾ	almˈanθaɾ	almanθaɾ	compound	[]	0.125	0.125	0.000
Alodia	alodja	aloðja	alˈoðja	alodʝa	compound	al|odia	0.167	0.333	0.167
Alondra	alondɾa	alondɾa	alˈondɾa	alondɾa	dict	[]	0.000	0.143	0.000
Alonso	alonso	alonso	alˈonso	alonso	dict	[]	0.000	0.167	0.000
Alpes	alpes	alpes	ˈalpes	alpes	dict	[]	0.000	0.200	0.000
Alpízar	alpiθaɾ	alˈpiθaɾ	alpˈiθaɾ	alpiθaɾ	compound	[]	0.143	0.143	0.000
Alquízar	alkiθaɾ	alˈkiθaɾ	alkˈiθaɾ	alkiθaɾ	compound	[]	0.143	0.143	0.000
