al	/al/
48letou	/ʔɔsʊmat͡ʃtɪr̝ɪt͡sɛcɪlɛtɔʊ̯/
48letého	/ʔɔsmat͡ʃtɪr̝ɪt͡sɛcɪlɛtɛːɦɔ/
48letého	/ʔɔsʊmat͡ʃtɪr̝ɪt͡sɛcɪlɛtɛːɦɔ/
48letý	/ɔsmat͡ʃtɪr̝ɪt͡sɛcɪlɛtiː/
49kilometrový	/dɛvjɛtat͡ʃtɪr̝ɪt͡sɛcɪkɪlɔmɛtrɔviː/
49letému	/dɛvjɛtat͡ʃtɪr̝ɪt͡sɛcɪlɛtɛːmʊ/
49letý	/dɛvjɛtat͡ʃtɪr̝ɪt͡sɛcɪlɛtiː/
500kilometrový	/pjɛcɪsɛtkɪlɔmɛtrɔviː/
50letého	/padɛsaːcɪlɛtɛːɦɔ/
50letý	/padɛsaːcɪlɛtiː/
51letý	/jɛdnapadɛsaːcɪlɛtiː/
51letý	/jɛdɛnapadɛsaːcɪlɛtiː/
54letý	/t͡ʃtɪr̝ɪapadɛsaːcɪlɛtiː/
54letým	/t͡ʃtɪr̝ɪapadɛsaːcɪlɛtiːm/
55procentní	/pjɛtapadɛsaːcɪprɔt͡sɛntɲiː/
55procentním	/pjɛtapadɛsaːcɪprɔt͡sɛntɲiːm/
56minutové	/ʃɛstapadɛsaːcɪmɪnʊtɔvɛː/
56minutový	/ʃɛstapadɛsaːcɪmɪnʊtɔviː/
58leté	/ɔsmapadɛsaːcɪlɛtɛː/
58letého	/ɔsmapadɛsaːcɪlɛtɛːɦɔ/
58letý	/ɔsmapadɛsaːcɪlɛtiː/
5leté	/pjɛcɪlɛtɛː/
5letý	/pjɛcɪlɛtiː/
60letého	/ʃɛdɛsaːcɪlɛtɛːɦɔ/
60letý	/ʃɛdɛsaːcɪlɛtiː/
62letého	/dva.aʃɛdɛsaːcɪlɛtɛːɦɔ/
62letý	/dva.aʃɛdɛsaːcɪlɛtiː/
63letému	/tr̝̊ɪaʃɛdɛsaːcɪlɛtɛːmʊ/
63letý	/tr̝̊ɪaʃɛdɛsaːcɪlɛtiː/
65letý	/pjɛtaʃɛdɛsaːcɪlɛtiː/
66letou	/ʃɛstaʃɛdɛsaːcɪlɛtɔʊ̯/
66letý	/ʃɛstaʃɛdɛsaːcɪlɛtiː/
66procentní	/ʃɛstaʃɛdɛsaːcɪprɔt͡sɛntɲiː/
70kilometrové	/sɛdm̩dɛsaːcɪkɪlɔmɛtrɔvɛː/
70kilometrové	/sɛdʊmdɛsaːcɪkɪlɔmɛtrɔvɛː/
70kilometrový	/sɛdm̩dɛsaːcɪkɪlɔmɛtrɔviː/
70kilometrový	/sɛdʊmdɛsaːcɪkɪlɔmɛtrɔviː/
70korunovou	/sɛdm̩dɛsaːcɪkɔrʊnɔvɔʊ̯/
70korunovou	/sɛdʊmdɛsaːcɪkɔrʊnɔvɔʊ̯/
70korunový	/sɛdm̩dɛsaːcɪkɔrʊnɔviː/
70korunový	/sɛdʊmdɛsaːcɪkɔrʊnɔviː/
71letý	/jɛdnasɛdm̩dɛsaːcɪlɛtiː/
71letý	/jɛdnasɛdʊmdɛsaːcɪlɛtiː/
71stránkové	/jɛdnasɛdm̩dɛsaːcɪstraːŋkɔvɛː/
71stránkové	/jɛdnasɛdʊmdɛsaːcɪstraːŋkɔvɛː/
71stránkový	/jɛdnasɛdm̩dɛsaːcɪstraːŋkɔviː/
71stránkový	/jɛdnasɛdʊmdɛsaːcɪstraːŋkɔviː/
74letá	/t͡ʃtɪr̝ɪasɛdm̩dɛsaːcɪlɛtaː/
74letá	/t͡ʃtɪr̝ɪasedʊmdɛsaːcɪlɛtaː/
74letý	/t͡ʃtɪr̝ɪasɛdm̩dɛsaːcɪlɛtiː/
74letý	/t͡ʃtɪr̝ɪasedʊmdɛsaːcɪlɛtiː/
76letý	/76lɛtiː/
80metrový	/ɔsm̩dɛsaːcɪmɛtrɔviː/
80metrový	/ɔsʊmdɛsaːcɪmɛtrɔviː/
90leté	/dɛvadɛsaːcɪlɛtɛː/
90letý	/dɛvadɛsaːcɪlɛtiː/
92letá	/dva.adɛvadɛsaːcɪlɛtaː/
92letý	/dva.adɛvadɛsaːcɪlɛtiː/
@	/ʔɛt/
@	/ˈzavɪnaːt͡ʃ/
a	/a/
a	/ˈʔaː/
a	/ˈʔa/
a cappella	/ʔa kapɛla/
a conto	/ʔa kɔntɔ/
a priori	/a prɪɔrɪ/
a přec	/a pr̝̊ɛt͡s/
a přece	/a pr̝̊ɛt͡sɛ/
a přeci	/a pr̝̊ɛt͡sɪ/
aachen	/aːxɛn/
aachene	/aːxɛnɛ/
aachenem	/aːxɛnɛm/
aachenský	/aːxɛnskiː/
aachenu	/aːxɛnu/
aachenu	/aːxɛnʊ/
aacích	/aːtsiːx/
aacích	/aːt͡siːx/
aak	/aːk/
aakem	/aːkɛm/
aaku	/aːku/
aaku	/aːkʊ/
aaky	/aːkɪ/
aaků	/aːkuː/
aakům	/aːkuːm/
aamu	/aːmu/
ab	/ˈap/
ab	/ap/
ab-	/ap/
abace	/abatsɛ/
abace	/abat͡sɛ/
abacích	/ˈabatsiːx/
abacích	/abat͡siːx/
abadon	/ˈabadon/
abadon	/abadɔn/
abak	/ʔabak/
abak	/ˈʔabak/
abaka	/ˈabaka/
abaka	/abaka/
abakami	/abakamɪ/
abakem	/abakɛm/
abako	/ˈabako/
abako	/abakɔ/
abakou	/abakou/
abakou	/abakɔʊ̯/
abakoví	/ˈabakˌoviː/
abakoví	/abakɔviː/
abakový	/ˈabakˌoviː/
abakový	/abakɔviː/
abaku	/ˈabaku/
abaku	/abakʊ/
abakus	/ˈabakus/
abakus	/abakʊs/
abaky	/abakɪ/
abakách	/ˈabakaːx/
abakách	/abakaːx/
abakám	/ˈabakaːm/
abakám	/abakaːm/
abaků	/ˈabakuː/
abaků	/abakuː/
abakům	/ˈabakuːm/
abakům	/abakuːm/
abald	/ˈabalt/
abald	/abalt/
abalda	/ˈabalda/
abaldami	/abaldamɪ/
abaldo	/ˈabaldo/
abaldo	/abaldɔ/
abaldou	/abaldou/
abaldou	/abaldɔʊ̯/
abaldu	/ˈabaldu/
abaldu	/abaldʊ/
abaldy	/abaldɪ/
abaldách	/ˈabaldaːx/
abaldách	/abaldaːx/
abaldám	/ˈabaldaːm/
abaldám	/abaldaːm/
abaldě	/abalɟɛ/
abalienace	/abalɪjɛnatsɛ/
abalienace	/abalɪjɛnat͡sɛ/
abalienacemi	/abalɪjɛnatsɛmɪ/
abalienacemi	/abalɪjɛnat͡sɛmɪ/
abalienaci	/abalɪjɛnatsɪ/
abalienaci	/abalɪjɛnat͡sɪ/
abalienací	/abalɪjɛnatsiː/
abalienací	/abalɪjɛnat͡siː/
abalienacích	/abalɪjɛnatsiːx/
abalienacích	/abalɪjɛnat͡siːx/
abalienacím	/abalɪjɛnatsiːm/
abalienacím	/abalɪjɛnat͡siːm/
abandon	/abandɔn/
abandonování	/ʔabandonovaːɲiː/
abandonování	/ˈʔabandɔnɔvaːɲiː/
abandonováních	/ˈabandˌonovˌaːɲiːx/
abandonováních	/abandɔnɔvaːɲiːx/
abandonováním	/ˈabandˌonovˌaːɲiːm/
abandonováním	/abandɔnɔvaːɲiːm/
abandonováními	/abandonovaːɲiːmɪ/
abandonováními	/abandɔnɔvaːɲiːmɪ/
abas	/ˈabas/
abas	/abas/
abaton	/abatɔn/
abatyše	/abatɪʃɛ/
abatyšemi	/ʔabatɪʃɛmɪ/
abatyši	/abatɪʃɪ/
abatyšský	/abatɪʃskiː/
abatyší	/abatɪʃiː/
abatyších	/abatɪʃiːx/
abatyším	/abatɪʃiːm/
abaxiální	/abaksɪjaːlɲiː/
abazštin	/abasʃcɪn/
abazština	/abasʃcɪna/
abazštinami	/abasʃcɪnamɪ/
abazštino	/abasʃcɪno/
abazštino	/abasʃcɪnɔ/
abazštinou	/abasʃcɪnou/
abazštinou	/abasʃcɪnɔʊ̯/
abazštinu	/abasʃcɪnu/
abazštinu	/abasʃcɪnʊ/
abazštiny	/abasʃcɪnɪ/
abazštinách	/abasʃcɪnaːx/
abazštinám	/abasʃcɪnaːm/
abazštině	/abasʃcɪɲɛ/
abbozzo	/ʔabotso/
abbozzo	/ˈʔabɔt͡sɔ/
abbé	/abɛː/
abbéech	/abɛːɛx/
abbého	/abɛːɦo/
abbého	/abɛːɦɔ/
abbém	/abɛːm/
abbému	/abɛːmu/
abbému	/abɛːmʊ/
abbéovský	/ʔabɛːofskiː/
abbéovský	/ˈʔabɛːɔfskiː/
abbéové	/abɛːovɛː/
abbéové	/abɛːɔvɛː/
abbéy	/abɛːjɪ/
abbéů	/abɛːuː/
abbéům	/abɛːuːm/
abchazsko	/apxasskɔ/
abchazský	/ˈapxasskiː/
abchazský	/apxasskiː/
abchazštin	/apxasʃcɪn/
abchazština	/apxasʃcɪna/
abchazštinami	/apxasʃcɪnamɪ/
abchazštino	/apxasʃcɪno/
abchazštino	/apxasʃcɪnɔ/
abchazštinou	/apxasʃcɪnou/
abchazštinou	/apxasʃcɪnɔʊ̯/
abchazštinu	/apxasʃcɪnu/
abchazštinu	/apxasʃcɪnʊ/
abchazštiny	/apxasʃcɪnɪ/
abchazštinách	/apxasʃcɪnaːx/
abchazštinám	/apxasʃcɪnaːm/
abchazštině	/apxasʃcɪɲɛ/
abcházie	/apxaːzɪɛ/
abcházii	/apxaːzɪjɪ/
abcházií	/apxaːzɪjiː/
abcházsky	/ʔapxaːskɪ/
abcházsky	/ˈʔapxaːskɪ/
abcházštin	/apxaːsʃcɪn/
abcházština	/apxaːsʃcɪna/
abcházštinami	/apxaːsʃcɪnamɪ/
abcházštino	/apxaːsʃcɪno/
abcházštino	/apxaːsʃcɪnɔ/
abcházštinou	/apxaːsʃcɪnou/
abcházštinou	/apxaːsʃcɪnɔʊ̯/
abcházštinu	/apxaːsʃcɪnu/
abcházštinu	/apxaːsʃcɪnʊ/
abcházštiny	/apxaːsʃcɪnɪ/
abcházštinách	/apxaːsʃcɪnaːx/
abcházštinám	/apxaːsʃcɪnaːm/
abcházštině	/apxaːsʃcɪɲɛ/
abdikace	/abdɪkatsɛ/
abdikace	/abdɪkat͡sɛ/
abdikacemi	/abdɪkatsɛmɪ/
abdikacemi	/abdɪkat͡sɛmɪ/
abdikaci	/abdɪkatsɪ/
abdikaci	/abdɪkat͡sɪ/
abdikací	/abdɪkatsiː/
abdikací	/abdɪkat͡siː/
abdikacích	/abdɪkatsiːx/
abdikacích	/abdɪkat͡siːx/
abdikacím	/abdɪkatsiːm/
abdikacím	/abdɪkat͡siːm/
abdikovat	/abdɪkovat/
abdikovat	/ˈʔab.dɪ.kɔ.vat/
abdikovati	/abdɪkovacɪ/
abdikovati	/abdɪkɔvacɪ/
abdominální	/abdomɪnaːlɲiː/
abdominální	/abdɔmɪnaːlɲiː/
abdukce	/ʔabdʊkt͡sɛ/
abdérita	/abdɛːrɪta/
abdérský	/abdɛːrskiː/
abeced	/abɛtsɛt/
abeced	/abɛt͡sɛt/
abeceda	/abɛtsɛda/
abeceda	/abɛt͡sɛda/
abecedami	/abɛtsɛdamɪ/
abecedami	/abɛt͡sɛdamɪ/
abecední	/abɛtsɛdɲiː/
abecední	/abɛt͡sɛdɲiː/
abecedně	/ˈʔa.bɛt͡sɛdɲɛ/
abecedo	/abɛtsɛdo/
abecedo	/abɛt͡sɛdɔ/
abecedou	/abɛtsɛdou/
abecedou	/abɛt͡sɛdɔʊ̯/
abecedu	/abɛtsɛdu/
abecedu	/abɛt͡sɛdʊ/
abecedy	/abɛtsɛdɪ/
abecedy	/abɛt͡sɛdɪ/
abecedách	/abɛtsɛdaːx/
abecedách	/abɛt͡sɛdaːx/
abecedám	/abɛtsɛdaːm/
abecedám	/abɛt͡sɛdaːm/
abecedě	/abɛtsɛɟɛ/
abecedě	/abɛt͡sɛɟɛ/
abel	/abɛl/
abelův	/abɛluːf/
aberace	/abɛratsɛ/
aberace	/abɛrat͡sɛ/
aberacemi	/abɛratsɛmɪ/
aberacemi	/abɛrat͡sɛmɪ/
aberaci	/abɛratsɪ/
aberaci	/abɛrat͡sɪ/
aberací	/abɛratsiː/
aberací	/abɛrat͡siː/
aberacích	/abɛratsiːx/
aberacích	/abɛrat͡siːx/
aberacím	/abɛratsiːm/
aberacím	/abɛrat͡siːm/
aberdeen	/ebrdýn/
aberdeenský	/abrdiːnskiː/
aberdeenský	/abr̩diːnskiː/
abertam	/abɛrtam/
abertamech	/abɛrtamɛx/
abertamský	/abɛrtamskiː/
abertamy	/abɛrtamɪ/
abertamům	/abɛrtamuːm/
abgébovat se	/abgɛːbɔvat sɛ/
abidžan	/abɪd͡ʒan/
abigail	/abɪgajl̩/
abigailin	/ˈʔa.bɪ.gaj.lɪn/
abigailini	/ˈʔa.bɪ.gaɪ.lɪ.ɲɪ/
abigailiny	/ˈʔa.bɪ.gaɪ.lɪ.nɪ/
abilita	/abɪlɪta/
abilympiád	/abɪlɪmpɪjaːt/
abilympiáda	/abɪlɪmpɪjaːda/
abilympiáda	/ˈabɪlɪmpɪjaːda/
abilympiádami	/abɪlɪmpɪjaːdamɪ/
abilympiádo	/abɪlɪmpɪjaːdo/
abilympiádo	/abɪlɪmpɪjaːdɔ/
abilympiádou	/abɪlɪmpɪjaːdou/
abilympiádou	/abɪlɪmpɪjaːdɔʊ̯/
abilympiádu	/abɪlɪmpɪjaːdu/
abilympiádu	/abɪlɪmpɪjaːdʊ/
abilympiády	/abɪlɪmpɪjaːdɪ/
abilympiádách	/abɪlɪmpɪjaːdaːx/
abilympiádám	/abɪlɪmpɪjaːdaːm/
abilympiádě	/abɪlɪmpɪjaːɟɛ/
abiogeneze	/ʔabɪɪogɛnɛzɛ/
abiogeneze	/ˀabɪɪ̯ɔgɛnɛzɛ/
abiogenezemi	/abɪjogɛnɛzɛmɪ/
abiogenezemi	/abɪjɔgɛnɛzɛmɪ/
abiogenezi	/abɪjogɛnɛzɪ/
abiogenezi	/abɪjɔgɛnɛzɪ/
abiogenezí	/abɪjogɛnɛziː/
abiogenezí	/abɪjɔgɛnɛziː/
abiogenezích	/abɪjogɛnɛziːx/
abiogenezích	/abɪjɔgɛnɛziːx/
abiogenezím	/abɪjogɛnɛziːm/
abiogenezím	/abɪjɔgɛnɛziːm/
abionym	/abɪjonɪm/
abionym	/abɪjɔnɪm/
abionyma	/abɪjonɪma/
abionyma	/abɪjɔnɪma/
abionymech	/abɪjonɪmɛx/
abionymech	/abɪjɔnɪmɛx/
abionymem	/abɪjonɪmɛm/
abionymem	/abɪjɔnɪmɛm/
abionymu	/abɪjonɪmu/
abionymu	/abɪjɔnɪmʊ/
abionymum	/abɪonɪmum/
abionymum	/ˈʔabɪʲɔnɪmʊm/
abionymy	/abɪjonɪmɪ/
abionymy	/abɪjɔnɪmɪ/
abionymům	/abɪjonɪmuːm/
abionymům	/abɪjɔnɪmuːm/
abiotický	/abɪjotɪtskiː/
abiotický	/abɪjɔtɪt͡skiː/
abiotičtí	/ˈʔa.bɪ.jɔ.tɪ.t͡ʃciː/
abiturient	/ʔabɪturɪjɛnt/
abiturient	/ˈʔa.bɪ.tʊrɪjɛnt/
abiturienta	/abɪturɪjɛnta/
abiturienta	/abɪtʊrɪjɛnta/
abiturientce	/abɪturɪjɛnttsɛ/
abiturientce	/abɪtʊrɪjɛntt͡sɛ/
abituriente	/abɪturɪjɛntɛ/
abituriente	/abɪtʊrɪjɛntɛ/
abiturientech	/abɪturɪjɛntɛx/
abiturientech	/abɪtʊrɪjɛntɛx/
abiturientek	/abɪturɪjɛntɛk/
abiturientek	/abɪtʊrɪjɛntɛk/
abiturientem	/abɪturɪjɛntɛm/
abiturientem	/abɪtʊrɪjɛntɛm/
abiturienti	/abɪturɪjɛncɪ/
abiturienti	/abɪtʊrɪjɛncɪ/
abiturientka	/abɪturɪjɛntka/
abiturientka	/abɪtʊrɪjɛntka/
abiturientkami	/abɪturɪjɛntkamɪ/
abiturientkami	/abɪtʊrɪjɛntkamɪ/
abiturientko	/abɪturɪjɛntko/
abiturientko	/abɪtʊrɪjɛntkɔ/
abiturientkou	/abɪturɪjɛntkou/
abiturientkou	/abɪtʊrɪjɛntkɔʊ̯/
abiturientku	/abɪtuɪjɛntku/
abiturientku	/abɪtʊɪjɛntkʊ/
abiturientky	/abɪturɪjɛntkɪ/
abiturientky	/abɪtʊrɪjɛntkɪ/
abiturientkách	/abɪturɪjɛntkaːx/
abiturientkách	/abɪtʊrɪjɛntkaːx/
abiturientkám	/abɪturɪjɛntkaːm/
abiturientkám	/abɪtʊrɪjɛntkaːm/
abiturientovi	/abɪturɪjɛntovɪ/
abiturientovi	/abɪtʊrɪjɛntɔvɪ/
abiturientu	/abɪturɪjɛntu/
abiturientu	/abɪtʊrɪjɛntʊ/
abiturienty	/abɪturɪjɛntɪ/
abiturienty	/abɪtʊrɪjɛntɪ/
abiturientů	/abɪturɪjɛntuː/
abiturientů	/abɪtʊrɪjɛntuː/
abiturientům	/abɪturɪjɛntuːm/
abiturientům	/abɪtʊrɪjɛntuːm/
abiturientův	/abɪturɪjɛntuːf/
abiturientův	/abɪtʊrɪjɛntuːf/
abiturienťák	/abɪturɪjɛncaːk/
abiturienťák	/abɪtʊrɪjɛncaːk/
abjurace	/abjuratsɛ/
abjurace	/abjʊrat͡sɛ/
abjuracemi	/abjuratsɛmɪ/
abjuracemi	/abjʊrat͡sɛmɪ/
abjuraci	/abjuratsɪ/
abjuraci	/abjʊrat͡sɪ/
abjurací	/ˈabjurˌatsiː/
abjurací	/abjʊrat͡siː/
abjuracích	/ˈabjurˌatsiːx/
abjuracích	/abjʊrat͡siːx/
abjuracím	/ˈabjurˌatsiːm/
abjuracím	/abjʊrat͡siːm/
ablace	/ablatsɛ/
ablace	/ablat͡sɛ/
ablacemi	/ablatsɛmɪ/
ablacemi	/ablat͡sɛmɪ/
ablaci	/ablatsɪ/
ablaci	/ablat͡sɪ/
ablací	/ˈablatsiː/
ablací	/ablat͡siː/
ablacích	/ˈablatsiːx/
ablacích	/ablat͡siːx/
ablacím	/ˈablatsiːm/
ablacím	/ablat͡siːm/
ablaktace	/ablaktatsɛ/
ablaktace	/ablaktat͡sɛ/
ablaktacemi	/ablaktatsɛmɪ/
ablaktacemi	/ablaktat͡sɛmɪ/
ablaktaci	/ablaktatsɪ/
ablaktaci	/ablaktat͡sɪ/
ablaktací	/ˈablaktˌatsiː/
ablaktací	/ablaktat͡siː/
ablaktacích	/ˈablaktˌatsiːx/
ablaktacích	/ablaktat͡siːx/
ablaktacím	/ˈablaktˌatsiːm/
ablaktacím	/ablaktat͡siːm/
ablativ	/ablatiːf/
ablativ	/ablatɪf/
ablative	/ablatɪvɛ/
ablativech	/ablatɪvɛx/
ablativem	/ablatɪvɛm/
ablativní	/ablatɪvɲiː/
ablativu	/ablatɪvu/
ablativu	/ablatɪvʊ/
ablativy	/ablatɪvɪ/
ablativů	/ablatɪvuː/
ablativům	/ablatɪvuːm/
ablaut	/ʔablaut/
ablaut	/ˈʔablaʊ̯t/
ablaute	/ablautɛ/
ablaute	/ablaʊ̯tɛ/
ablautech	/ablautɛx/
ablautech	/ablaʊ̯tɛx/
ablautem	/ablautɛm/
ablautem	/ablaʊ̯tɛm/
ablautovat	/ablautovat/
ablautovat	/ablaʊ̯tɔvat/
ablautu	/ablautu/
ablautu	/ablaʊ̯tʊ/
ablauty	/ablautɪ/
